Country,Country Code,Lifeexpectancy,
Mexico,MEX,76.35409756,G
Bahrain,BHR,76.40763415,G
Maldives,MDV,76.46234146,G
Europe & Central Asia (all income levels),ECS,76.56936788,G
Oman,OMN,76.58956098,G
Uruguay,URY,76.68839024,G
Poland,POL,76.79756098,G
Croatia,HRV,76.92439024,G
United Arab Emirates,ARE,77.02414634,G
New Caledonia,NCL,77.12195122,G
Panama,PAN,77.23704878,G
Albania,ALB,77.35046341,G
Czech Republic,CZE,78.07560976,G
Qatar,QAT,78.22765854,G
Brunei Darussalam,BRN,78.25258537,G
Puerto Rico,PRI,78.53553659,G
Guam,GUM,78.6175122,G
United States,USA,78.74146341,G
High income,HIC,78.92534853,G
North America,NAC,78.99067409,G
St. Martin (French part),MAF,79.02195122,G
Costa Rica,CRI,79.05353659,G
Cuba,CUB,79.14160976,G
Virgin Islands (U.S.),VIR,79.47317073,G
Cyprus,CYP,79.76226829,G
OECD members,OED,79.79538758,G
Lebanon,LBN,79.84636585,G
Denmark,DNK,80.05121951,G
"Macao SAR, China",MAC,80.12317073,G
Slovenia,SVN,80.12439024,G
European Union,EUU,80.31371947,G
Channel Islands,CHI,80.31865854,G
Portugal,PRT,80.37317073,G
Belgium,BEL,80.38536585,G
High income: OECD,OEC,80.53713875,G
Finland,FIN,80.62682927,G
Greece,GRC,80.63414634,G
Malta,MLT,80.74634146,G
Germany,DEU,80.89268293,G
Chile,CHL,80.89485366,G
Ireland,IRL,80.89512195,G
United Kingdom,GBR,80.90487805,G
Austria,AUT,80.93658537,G
Faeroe Islands,FRO,81.09756098,G
Netherlands,NLD,81.10487805,G
New Zealand,NZL,81.15609756,G
South Korea,KOR,81.21341463,G
Canada,CAN,81.23804878,G
Euro area,EMU,81.31211954,G
Luxembourg,LUX,81.39268293,G
Norway,NOR,81.45121951,G
Bermuda,BMU,81.67780488,G
Israel,ISR,81.70487805,G
Sweden,SWE,81.70487805,G
France,FRA,81.96829268,G
Singapore,SGP,81.99512195,G
Australia,AUS,82.04634146,G
Italy,ITA,82.23902439,G
Liechtenstein,LIE,82.38292683,G
Spain,ESP,82.42682927,G
Switzerland,CHE,82.69756098,G
Iceland,ISL,82.91707317,G
Japan,JPN,83.09609756,G
Hong Kong,HKG,83.4804878,G
Greenland,,73.01,
Iran,,73.76,
Egypt,,70.91,
Venezuela,,74.49,
