"Country","Year","All","Communicable","Noncommunicable","Injuries"
"Djibouti"," 2000","1570.1","769.2","686.5","114.4"
"Dominican Republic"," 2012","539.2","76.8","396.0","66.4"
"Dominican Republic"," 2000","652.8","141.9","448.0","62.9"
"Ecuador"," 2012","590.7","97.3","409.7","83.7"
"Ecuador"," 2000","689.0","150.2","456.6","82.1"
"Egypt"," 2012","889.6","74.3","781.7","33.5"
"Egypt"," 2000","995.3","121.0","838.3","36.1"
"El Salvador"," 2012","728.9","96.2","474.9","157.7"
"El Salvador"," 2000","801.4","137.2","503.4","160.9"
"Equatorial Guinea"," 2012","1619.4","756.8","729.0","133.6"
"Equatorial Guinea"," 2000","1908.2","955.5","818.3","134.3"
"Eritrea"," 2012","1296.6","506.0","671.9","118.7"
"Eritrea"," 2000","2458.9","798.2","808.6","852.0"
"Estonia"," 2012","576.2","18.5","510.7","47.0"
"Estonia"," 2000","861.3","36.9","719.6","104.8"
"Ethiopia"," 2012","1129.7","558.9","476.3","94.5"
"Ethiopia"," 2000","1798.7","1056.7","579.1","162.9"
"Fiji"," 2012","973.2","105.2","804.0","64.0"
"Fiji"," 2000","1101.9","137.5","889.0","75.4"
"Finland"," 2012","414.3","9.0","366.6","38.7"
"Finland"," 2000","527.9","33.7","440.2","54.0"
"France"," 2012","369.1","21.4","313.2","34.6"
"France"," 2000","470.6","29.3","392.2","49.1"
"Gabon"," 2012","1171.4","589.4","504.6","77.4"
"Gabon"," 2000","1349.5","757.1","509.4","83.0"
"Gambia"," 2012","1316.1","590.5","629.6","96.0"
"Gambia"," 2000","1537.2","740.3","687.6","109.3"
"Georgia"," 2012","686.7","39.3","615.2","32.2"
"Georgia"," 2000","786.4","59.7","691.4","35.2"
"Germany"," 2012","409.7","21.6","365.1","23.0"
"Germany"," 2000","516.1","22.5","461.8","31.7"
"Ghana"," 2012","1222.0","476.0","669.9","76.1"
"Ghana"," 2000","1429.0","718.9","639.9","70.2"
"Greece"," 2012","415.7","24.1","365.0","26.5"
"Greece"," 2000","506.4","25.4","446.6","34.4"
"Guatemala"," 2012","733.0","212.7","409.4","111.0"
"Guatemala"," 2000","901.5","310.3","453.3","137.9"
"Guinea"," 2012","1456.7","679.6","681.1","96.0"
"Guinea"," 2000","1851.0","1028.3","708.8","114.0"
"Guinea-Bissau"," 2012","1746.2","869.8","764.7","111.6"
"Guinea-Bissau"," 2000","1852.8","1022.7","713.9","116.1"
"Guyana"," 2012","1351.5","177.2","1024.2","150.0"
"Guyana"," 2000","1137.2","195.6","802.2","139.4"
"Haiti"," 2012","1219.3","405.4","724.6","89.3"
"Haiti"," 2000","1584.2","705.0","786.7","92.4"
"Honduras"," 2012","639.8","117.5","441.5","80.8"
"Honduras"," 2000","762.3","201.2","480.4","80.7"
